Zmienna;Typ informacji;Jednostka terytorialna;PKD - koniunktura gospodarcza (całość);Szereg czasowy;Wartość;Flaga
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M01;-20,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M02;-17,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M03;-11,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M04;-5,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M05;-7,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M06;-7,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M07;-7,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M08;-7,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M09;-6,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M01;2,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M02;-0,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M03;0,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M04;1,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M05;0,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M06;3,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M07;2,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M08;1,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2023 M09;-0,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M01;-9,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M02;-8,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M03;-5,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M04;-2,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M05;-3,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M06;-1,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M07;-2,3;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M08;-2,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;Handel detaliczny (45+47);2023 M09;-3,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M01;-22,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M02;-14,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M03;-23,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M04;-12,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M05;-10,5;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M06;-12,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M07;-17,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;Handel detaliczny (45+47);2022 M08;-15,2;(nd)
