Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M01;-12,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M02;-13,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M03;-14,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M04;-13,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M05;-13,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M06;-11,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M07;-14,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M08;-14,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M09;-14,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M01;-24,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M02;-15,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M03;-11,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M04;-8,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M05;-10,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M06;-12,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M07;-13,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M08;-9,9;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M09;-10,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M01;-18,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M02;-14,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M03;-12,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M04;-10,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M05;-12,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M06;-11,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M07;-14,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M08;-12,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2023 M09;-12,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M01;-7,4;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M02;-8,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M03;-9,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M04;-8,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M05;-6,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M06;-8,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M07;-10,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M08;-11,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M09;-13,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M10;-14,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M11;-13,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M12;-13,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M01;-17,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M02;-12,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M03;-23,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M04;-14,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M05;-12,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M06;-17,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M07;-20,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M08;-19,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M09;-24,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M10;-27,6;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M11;-27,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M12;-25,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M01;-12,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M02;-10,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M03;-16,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M04;-11,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M05;-9,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M06;-13,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M07;-15,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M08;-15,2;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M09;-18,8;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M10;-21,1;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M11;-20,6;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2022 M12;-19,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M01;-6,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M02;-9,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M03;-9,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M04;-5,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M05;-2,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M06;-1,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M07;0,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M08;0,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M09;-1,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M10;-4,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M11;-3,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M12;-5,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;PRZETWÓRSTWO PRZEMYSŁOWE;2021 M01;-13,8;(nd)
